date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:26	76165/76165	---M--	200	added ('OK')	image/jpeg	etag:%2262b41502-12985%22	https://www.supergres.com/media/__sized__/products/ambience/image/1_SUPERGRES_Astrum_Ivory_120X120_NEGOZIO_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/1_SUPERGRES_Astrum_Ivory_120X120_NEGOZIO_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:26	13275/13275	---M--	200	added ('OK')	image/jpeg	etag:%2262b41501-33db%22	https://www.supergres.com/media/__sized__/products/ambience/image/1_SUPERGRES_Astrum_Ivory_120X120_NEGOZIO_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/1_SUPERGRES_Astrum_Ivory_120X120_NEGOZIO_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:26	91076/91076	---M--	200	added ('OK')	image/jpeg	etag:%2262b41502-163c4%22	https://www.supergres.com/media/__sized__/products/ambience/image/2_SUPERGRES_Astrum_Beige_120X120_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/2_SUPERGRES_Astrum_Beige_120X120_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:26	24037/24037	---M--	200	added ('OK')	image/jpeg	etag:%2262b41502-5de5%22	https://www.supergres.com/media/__sized__/products/ambience/image/2_SUPERGRES_Astrum_Beige_120X120_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/2_SUPERGRES_Astrum_Beige_120X120_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:27	84238/84238	---M--	200	added ('OK')	image/jpeg	etag:%2262b41502-1490e%22	https://www.supergres.com/media/__sized__/products/ambience/image/4_SUPERGRES_Astrum_Beige_120X120_p1_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/4_SUPERGRES_Astrum_Beige_120X120_p1_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:27	17594/17594	---M--	200	added ('OK')	image/jpeg	etag:%2262b41502-44ba%22	https://www.supergres.com/media/__sized__/products/ambience/image/4_SUPERGRES_Astrum_Beige_120X120_p1_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/4_SUPERGRES_Astrum_Beige_120X120_p1_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:27	82210/82210	---M--	200	added ('OK')	image/jpeg	etag:%2262b41503-14122%22	https://www.supergres.com/media/__sized__/products/ambience/image/6_SUPERGRES_Astrum_Beige_muretto_gemDD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/6_SUPERGRES_Astrum_Beige_muretto_gemDD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:27	19328/19328	---M--	200	added ('OK')	image/jpeg	etag:%2262b41503-4b80%22	https://www.supergres.com/media/__sized__/products/ambience/image/6_SUPERGRES_Astrum_Beige_muretto_gemDD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/6_SUPERGRES_Astrum_Beige_muretto_gemDD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:28	52110/52110	---M--	200	added ('OK')	image/jpeg	etag:%2262b41503-cb8e%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_White_Vein_Cut_CUCINA_DD22-thumbnail-1440x800-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_White_Vein_Cut_CUCINA_DD22-thumbnail-1440x800-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
11:52:28	16890/16890	---M--	200	added ('OK')	image/jpeg	etag:%2262b41503-41fa%22	https://www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_White_Vein_Cut_CUCINA_DD22-crop-c0-5__0-5-330x430-70.jpg	D:/porject/p2/www.supergres.com/media/__sized__/products/ambience/image/SUPERGRES_Astrum_White_Vein_Cut_CUCINA_DD22-crop-c0-5__0-5-330x430-70.jpg	(from https://www.supergres.com/en/collections/astrum/)
